"battalion","incident_date_month","incidents_count","avg_minutes_to_arrival","avg_minutes_to_close","avg_suppression_units","avg_suppression_personnel","avg_ems_units","avg_ems_personnel","avg_other_units","avg_other_personnel","avg_estimated_property_loss","avg_estimated_contents_loss","avg_fire_fatalities","avg_fire_injuries","avg_civilian_fatalities","avg_civilian_injuries","avg_number_of_alarms","count_detectors_present","avg_number_of_floors_with_minimum_damage","avg_number_of_floors_with_significant_damage","avg_number_of_floors_with_heavy_damage","avg_number_of_floors_with_extreme_damage","count_automatic_extinguishing_system_present"
"B01","2003-01-01 00:00:00+00",337,-3.5287339268051436,-14.591790306627102,2.364985163204748,9.376854599406528,0.032640949554896145,0.0771513353115727,0.002967359050445104,0.005934718100890208,0.29673590504451036,0,0.0,0.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,3
"B01","2003-02-01 00:00:00+00",324,-3.5925411522633746,-22.53179012345679,2.3858024691358026,8.768518518518519,0.08641975308641975,0.2993827160493827,0.024691358024691357,0.05555555555555555,27.77777777777778,0,0.0,0.006172839506172839,0.0,0.006172839506172839,1.0061728395061729,6,0.7142857142857143,0.0,0.7142857142857143,0.0,1
"B01","2003-03-01 00:00:00+00",400,-5.743,-23.97779166666667,2.34,9.09,0.0475,0.0975,0.02,0.045,62.75,5.25,0.0,0.0,0.0,0.0,1.0025,7,0.7,0.1,0.0,0.0,3
"B01","2003-04-01 00:00:00+00",374,-4.099019607843137,-15.014260249554367,2.5668449197860963,10.29946524064171,0.03208556149732621,0.053475935828877004,0.016042780748663103,0.026737967914438502,681.8181818181819,66.84491978609626,0.0,0.0,0.0,0.0,1.0053475935828877,8,0.9166666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,4
"B01","2003-05-01 00:00:00+00",371,-3.3042677448337825,-11.919137466307278,2.4097035040431267,9.60377358490566,0.04851752021563342,0.09703504043126684,0.03504043126684636,0.0889487870619946,0,0,0.0,0.0,0.0,0.0,1.0,2,0.6666666666666666,0.0,0.0,0.0,NULL
"B01","2003-06-01 00:00:00+00",393,-3.025063613231552,-13.246564885496182,2.5318066157760812,9.9058524173028,0.03307888040712468,0.13994910941475827,0.030534351145038167,0.09414758269720101,1.0178117048346056,0,0.0,0.0,0.0,0.0,1.0,2,0.625,0.0,0.0,0.0,1
"B01","2003-07-01 00:00:00+00",481,-2.639050589050589,-11.191683991683991,2.5155925155925156,9.59043659043659,0.04573804573804574,0.08731808731808732,0.016632016632016633,0.060291060291060294,2.079002079002079,0.4158004158004158,0.0,0.0,0.0,0.0,1.0,2,0.5,0.0,0.0,0.0,1
"B01","2003-08-01 00:00:00+00",449,-2.7984038604305863,-12.757869339272457,2.3942093541202674,9.44543429844098,0.155902004454343,0.12694877505567928,0.12472160356347439,0.11804008908685969,3.34075723830735,0,0.0,0.0,0.0,0.0,1.0,3,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3
"B01","2003-09-01 00:00:00+00",389,-2.97630676949443,-12.297986289631535,2.341902313624679,9.187660668380463,0.028277634961439587,0.05141388174807198,0.012853470437017995,0.017994858611825194,8.997429305912597,0,0.0,0.0,0.0,0.0,1.0,NULL,0.6666666666666666,0.0,0.0,0.0,NULL
"B01","2003-10-01 00:00:00+00",415,-2.715863453815261,-13.673935742971887,2.5783132530120483,9.934939759036144,0.00963855421686747,0.01927710843373494,0.016867469879518072,0.03614457831325301,380.72289156626505,120.48192771084338,0.0,0.0,0.0,0.0,1.0,6,0.6666666666666666,0.1111111111111111,0.0,0.0,1
"B01","2003-11-01 00:00:00+00",341,-3.077272727272727,-19.30650048875855,2.6363636363636362,10.205278592375366,0.03225806451612903,0.05865102639296188,0.026392961876832845,0.05278592375366569,133.43108504398828,132.25806451612902,0.0,0.0,0.0,0.0,1.0,3,0.6666666666666666,0.5,0.16666666666666666,0.0,1
"B01","2003-12-01 00:00:00+00",353,-3.909159584513692,-16.336921624173748,2.594900849858357,10.291784702549576,0.07932011331444759,0.10198300283286119,0.0453257790368272,0.11898016997167139,70.8215297450425,0,0.0,0.0,0.0,0.0,1.0,6,0.75,0.125,0.0,0.0,3
"B01","2004-01-01 00:00:00+00",351,-2.844207027540361,-17.717568850902182,2.6125356125356123,10.179487179487179,0.039886039886039885,0.08831908831908832,0.002849002849002849,0.014245014245014245,356.2678062678063,214.67236467236467,0.0,0.0,0.0,0.0,1.0,5,0.875,0.125,0.0,0.0,2
"B01","2004-02-01 00:00:00+00",350,-3.5543809523809524,-15.400428571428572,2.388571428571429,9.442857142857143,0.022857142857142857,0.04285714285714286,0.025714285714285714,0.06,68.57142857142857,15.714285714285714,0.0,0.0,0.0,0.0,1.0,3,0.7142857142857143,0.0,0.0,0.0,1
"B01","2004-03-01 00:00:00+00",345,-3.172898550724638,-14.653864734299518,2.36231884057971,9.382608695652173,0.04057971014492753,0.0927536231884058,0.028985507246376812,0.0927536231884058,234.20289855072463,18.043478260869566,0.0,0.002898550724637681,0.0,0.002898550724637681,1.0057971014492755,1,0.6,0.2,0.0,0.0,1
"B01","2004-04-01 00:00:00+00",383,-3.310835509138381,-16.228416013925152,2.744125326370757,10.263707571801566,0.057441253263707574,0.10704960835509138,0.007832898172323759,0.0391644908616188,1320.1148825065275,195.8485639686684,0.0,0.0,0.0,0.0,1.0052219321148825,2,0.8,0.0,0.4,0.0,NULL
"B01","2004-05-01 00:00:00+00",303,-6.95060506050605,-18.103300330033004,2.594059405940594,9.96039603960396,0.0165016501650165,0.033003300330033,0.0,0.0,681.914191419142,19.86798679867987,0.0,0.0,0.0,0.0,1.0,2,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,1
"B01","2004-06-01 00:00:00+00",308,-3.613095238095238,-16.681493506493506,2.685064935064935,10.590909090909092,0.05519480519480519,0.11038961038961038,0.01948051948051948,0.032467532467532464,1175.892857142857,287.9707792207792,0.0,0.0,0.0,0.0,1.0097402597402596,7,1.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,3
"B01","2004-07-01 00:00:00+00",329,-3.4189463019250255,-17.757649442755827,2.6717325227963524,10.155015197568389,0.04559270516717325,0.0851063829787234,0.0060790273556231,0.0060790273556231,132.52279635258358,38.328267477203646,0.0,0.0,0.0,0.0,1.0030395136778116,7,1.0,0.0,0.0,0.0,4
"B01","2004-08-01 00:00:00+00",343,-3.581681243926142,-17.995626822157433,2.56268221574344,9.620991253644315,0.023323615160349854,0.04081632653061224,0.011661807580174927,0.023323615160349854,2647.8134110787173,1188.9212827988338,0.0,0.0,0.0,0.0,1.0058309037900874,2,0.6666666666666666,0.3333333333333333,0.0,0.0,2
"B01","2004-09-01 00:00:00+00",320,-3.63125,-20.35,2.596875,9.69375,0.05625,0.109375,0.025,0.046875,956.721875,707.03125,0.0,0.003125,0.0,0.003125,1.0,6,0.875,0.125,0.0,0.0,3
"B01","2004-10-01 00:00:00+00",301,-3.3171650055370985,-18.982613510520487,2.744186046511628,10.289036544850498,0.04983388704318937,0.08970099667774087,0.013289036544850499,0.023255813953488372,279.7076411960133,87.05647840531562,0.0,0.0,0.0,0.0,1.0,10,0.8125,0.125,0.125,0.0625,2
"B01","2004-11-01 00:00:00+00",263,-3.702598225602028,-17.115145754119137,2.7680608365019013,10.4106463878327,0.034220532319391636,0.057034220532319393,0.0076045627376425855,0.011406844106463879,1431.9391634980989,232.319391634981,0.0,0.0,0.0,0.0,1.0038022813688212,6,0.5714285714285714,0.5714285714285714,0.0,0.0,2
"B01","2004-12-01 00:00:00+00",297,-3.6960157126823794,-20.98658810325477,2.723905723905724,10.195286195286196,0.020202020202020204,0.03367003367003367,0.0,0.0,1977.7777777777778,744.7811447811448,0.0,0.0,0.0,0.0,1.0033670033670035,6,0.8571428571428571,0.0,0.42857142857142855,0.14285714285714285,1
